nct_id;url_link;lead_sponsor;overall_status;results_reported;is_overdue;completion_date;results_date;download_date;brief_title;population_type
NCT02407678;https://clinicaltrials.gov/show/NCT02407678;University of Oxford;Active, not recruiting;False;False;2021-08-01;No;2019-09-18;REP1 Gene Replacement Therapy for Choroideremia;3-no result and not yet overdue
NCT00345267;https://clinicaltrials.gov/show/NCT00345267;University of Edinburgh;Completed;False;True;Not given;No;2019-09-18;Effect of an Integrated Care Pathway on Asthma Care in Hospital;2-no result and overdue
NCT00344474;https://clinicaltrials.gov/show/NCT00344474;King's College London;Completed;False;True;2006-05-01;No;2019-09-18;Personality-targeted Interventions for Adolescent Alcohol Misuse;2-no result and overdue
NCT03821610;https://clinicaltrials.gov/show/NCT03821610;University of Birmingham;Recruiting;False;False;2024-11-22;No;2019-09-18;A Comparison of Reduced Dose Total Body Irradiation (TBI) and Cyclophosphamide With Fludarabine and Melphalan Reduced Intensity Conditioning in Adults With Acute Lymphoblastic Leukaemia (ALL) in Complete Remission. (ALL-RIC);3-no result and not yet overdue
NCT03825250;https://clinicaltrials.gov/show/NCT03825250;University of Leicester;Recruiting;False;False;2021-11-01;No;2019-09-18;The Val-CARD Trial;3-no result and not yet overdue
NCT03824015;https://clinicaltrials.gov/show/NCT03824015;University of Nottingham;Completed;False;True;2018-04-22;No;2019-09-18;Keeping Adults Physically Active Feasibility Study;2-no result and overdue
NCT03827317;https://clinicaltrials.gov/show/NCT03827317;Imperial College London;Recruiting;False;False;2021-01-01;No;2019-09-18;HERPET- A Novel PET Imaging Study of HER2 in Breast Cancer;3-no result and not yet overdue
NCT03826953;https://clinicaltrials.gov/show/NCT03826953;University of Edinburgh;Recruiting;False;False;2019-08-30;No;2019-09-18;Allergy UK Research and Development Nurse Project;3-no result and not yet overdue
NCT01767701;https://clinicaltrials.gov/show/NCT01767701;Queen Mary University of London;Completed;True;True;2014-09-01;2016-09-22;2019-09-18;Raltegravir (Isentress) Pilot Study in Relapsing Multiple Sclerosis;1-result posted and overdue
NCT01769742;https://clinicaltrials.gov/show/NCT01769742;University of Birmingham;Completed;False;True;2013-09-01;No;2019-09-18;Early Mobility Bundle to Prevent Hospital Acquired Pneumonia (HAP) in Medical Inpatients;2-no result and overdue
NCT01769820;https://clinicaltrials.gov/show/NCT01769820;University of Edinburgh;Completed;False;True;2018-03-29;No;2019-09-18;Dexamethasone for Excessive Menstruation;2-no result and overdue
NCT01763281;https://clinicaltrials.gov/show/NCT01763281;University of Nottingham;Completed;False;True;2013-01-01;No;2019-09-18;Imaging the Effect of Experimental Stress on Small and Large Bowel Water During Fructose Absorption;2-no result and overdue
NCT04084652;https://clinicaltrials.gov/show/NCT04084652;University of Exeter;Recruiting;False;False;2019-12-01;No;2019-09-18;Mycoprotein and Muscle Protein Synthetic Response;3-no result and not yet overdue
NCT04086134;https://clinicaltrials.gov/show/NCT04086134;King's College London;Not yet recruiting;False;False;2021-03-31;No;2019-09-18;Physiological, Microbiological and Metabolomic Effects of Fruit Products;3-no result and not yet overdue
NCT04081532;https://clinicaltrials.gov/show/NCT04081532;University of Edinburgh;Not yet recruiting;False;False;2020-05-01;No;2019-09-18;The Effectiveness of Laparoscopic Treatment of Superficial Endometriosis for Managing Chronic Pelvic Pain;3-no result and not yet overdue
NCT04087278;https://clinicaltrials.gov/show/NCT04087278;King's College London;Recruiting;False;False;2020-09-01;No;2019-09-18;Cardiovascular Health Arterial Stiffness Raspberry and Microbiome (CHARM);3-no result and not yet overdue
NCT04080895;https://clinicaltrials.gov/show/NCT04080895;University of Oxford;Not yet recruiting;False;False;2020-08-01;No;2019-09-18;Pharmacokinetic Study of Artemether-lumefantrine and Amodiaquine in Healthy Subjects;3-no result and not yet overdue
NCT04083508;https://clinicaltrials.gov/show/NCT04083508;University of Oxford;Not yet recruiting;False;False;2021-06-30;No;2019-09-18;Vivax Malaria Human Infection Studies in Thailand;3-no result and not yet overdue
NCT04084639;https://clinicaltrials.gov/show/NCT04084639;University of Exeter;Recruiting;False;False;2019-10-01;No;2019-09-18;Mycoprotein Consumption and Glucose Absorption;3-no result and not yet overdue
NCT04084457;https://clinicaltrials.gov/show/NCT04084457;King's College London;Not yet recruiting;False;False;2020-09-01;No;2019-09-18;Investigating the Effects of Daily Consumption of Blueberry (Poly)Phenols on Vascular Function and Cognitive Performance;3-no result and not yet overdue
NCT02776657;https://clinicaltrials.gov/show/NCT02776657;University of Edinburgh;Suspended;False;False;2018-12-01;No;2019-09-18;Intracoronary Thrombus Detection by Magnetic Resonance Imaging;3-no result and not yet overdue
NCT02777333;https://clinicaltrials.gov/show/NCT02777333;University of Oxford;Unknown status;False;True;2017-01-01;No;2019-09-18;Simulation-based Arthroscopic Surgery Study;2-no result and overdue
NCT02770638;https://clinicaltrials.gov/show/NCT02770638;University of Nottingham;Unknown status;False;True;2016-10-01;No;2019-09-18;Tissue Interface Pressures in Athlete Medical Extraction;2-no result and overdue
NCT02772458;https://clinicaltrials.gov/show/NCT02772458;University of Nottingham;Completed;False;False;2018-09-01;No;2019-09-18;Reduced Appetite in Crohn's Disease: The Role of the Brain in the Control of Food Intake;3-no result and not yet overdue
NCT02772861;https://clinicaltrials.gov/show/NCT02772861;University College London;Completed;False;True;2012-05-01;No;2019-09-18;Citrulline Challenge Study for Healthy Subjects in the United Kingdom;2-no result and overdue
NCT02775617;https://clinicaltrials.gov/show/NCT02775617;London School of Hygiene and Tropical Medicine;Completed;True;True;2017-08-01;2018-11-08;2019-09-18;Azithromycin - Ivermectin Mass Drug Administration for Skin Disease;1-result posted and overdue
NCT02771717;https://clinicaltrials.gov/show/NCT02771717;University of Nottingham;Unknown status;False;True;2017-07-01;No;2019-09-18;Low Exhaled NO and ICS in Suspected Asthma;2-no result and overdue
NCT02772536;https://clinicaltrials.gov/show/NCT02772536;University of Leicester;Unknown status;False;False;2018-12-01;No;2019-09-18;A Clinical Trial Investigating Effect of Tinted Light on Perception of Tinnitus;3-no result and not yet overdue
NCT02771691;https://clinicaltrials.gov/show/NCT02771691;University of Edinburgh;Completed;False;True;2017-11-01;No;2019-09-18;Mentalization-Based Group Therapy for Adolescents;2-no result and overdue
NCT02779712;https://clinicaltrials.gov/show/NCT02779712;University of Nottingham;Completed;False;True;2018-07-23;No;2019-09-18;Remote Ischaemic Conditioning After Stroke Trial (ReCAST-2);2-no result and overdue
NCT02774811;https://clinicaltrials.gov/show/NCT02774811;University College London;Terminated;False;False;2019-01-01;No;2019-09-18;Primary Glaucoma Treatment Trial in Kenya and South Africa - SLT vs. Medication;3-no result and not yet overdue
NCT03302013;https://clinicaltrials.gov/show/NCT03302013;University of Oxford;Recruiting;False;False;2021-09-04;No;2019-09-18;All Ligaments Left In Knee Arthroplasty Trial;3-no result and not yet overdue
NCT03305237;https://clinicaltrials.gov/show/NCT03305237;University of Aberdeen;Recruiting;False;False;2019-12-01;No;2019-09-18;The Meal Time Study;3-no result and not yet overdue
NCT03304197;https://clinicaltrials.gov/show/NCT03304197;University of Exeter;Completed;False;True;2018-06-01;No;2019-09-18;Hydration and Exercise Performance in Cycling;2-no result and overdue
NCT03303417;https://clinicaltrials.gov/show/NCT03303417;University of Nottingham;Completed;True;True;2017-11-01;2018-10-16;2019-09-18;Effect of Kiwifruit on Gastrointestinal Fluid Distribution and Transit in Healthy Volunteers;1-result posted and overdue
NCT03784742;https://clinicaltrials.gov/show/NCT03784742;University of Reading;Not yet recruiting;False;False;2019-08-01;No;2019-09-18;Effects of Daily Nitrate Consumption on Oral Bacteria Composition, Blood Pressure and Vascular Function;3-no result and not yet overdue
NCT03782636;https://clinicaltrials.gov/show/NCT03782636;University of Oxford;Recruiting;False;False;2022-04-14;No;2019-09-18;Interleukin-2 Therapy of Autoimmunity in Diabetes (ITAD);3-no result and not yet overdue
NCT03784443;https://clinicaltrials.gov/show/NCT03784443;Imperial College London;Withdrawn;False;False;2022-09-01;No;2019-09-18;Combined Ranibizumab and Iluvien for Diabetic Macular Oedema;3-no result and not yet overdue
NCT03785938;https://clinicaltrials.gov/show/NCT03785938;University of Leeds;Not yet recruiting;False;False;2019-07-20;No;2019-09-18;Mucositis and Infection Reduction With Liquid Probiotics in Children With Cancer;3-no result and not yet overdue
NCT03785951;https://clinicaltrials.gov/show/NCT03785951;University of Reading;Not yet recruiting;False;False;2020-07-01;No;2019-09-18;Impact of Whey and Leucine on Glycaemia in Adults Without Diabetes;3-no result and not yet overdue
NCT03783104;https://clinicaltrials.gov/show/NCT03783104;University College London;Recruiting;False;False;2021-12-01;No;2019-09-18;Maternal B12 Supplementation to Improve Infant B12 Deficiency and Neurodevelopment;3-no result and not yet overdue
NCT03781427;https://clinicaltrials.gov/show/NCT03781427;University of Leeds;Not yet recruiting;False;False;2022-07-01;No;2019-09-18;Tailoring Pacemaker Output to Physiology in Chronic Heart Failure;3-no result and not yet overdue
NCT03784027;https://clinicaltrials.gov/show/NCT03784027;University of Cambridge;Recruiting;False;False;2020-06-01;No;2019-09-18;The Artificial Pancreas in Very Young Children With T1D;3-no result and not yet overdue
NCT03786315;https://clinicaltrials.gov/show/NCT03786315;University of Exeter;Not yet recruiting;False;False;2021-02-01;No;2019-09-18;Testing 'VOLITION';3-no result and not yet overdue
NCT03783416;https://clinicaltrials.gov/show/NCT03783416;Queen Mary University of London;Not yet recruiting;False;False;2022-06-01;No;2019-09-18;SIZOMUS Safety of Ixazomib Targeting Plasma Cells in Multiple Sclerosis;3-no result and not yet overdue
NCT01572025;https://clinicaltrials.gov/show/NCT01572025;University of Nottingham;Completed;False;True;2014-12-01;No;2019-09-18;Dehydroepiandrosterone (DHEA) Intervention To Treat Ovarian Aging;2-no result and overdue
NCT01575301;https://clinicaltrials.gov/show/NCT01575301;University of Dundee;Completed;False;True;2015-07-01;No;2019-09-18;DIabetes REsearCh on Patient sTratification (DIRECT): GLP-1R Agonists;2-no result and overdue
NCT01572064;https://clinicaltrials.gov/show/NCT01572064;University of Nottingham;Completed;False;True;2012-09-01;No;2019-09-18;Magnetic Resonance Imaging in the Evaluation of Liver Fibrosis;2-no result and overdue
NCT01573156;https://clinicaltrials.gov/show/NCT01573156;University of Oxford;Terminated;False;True;2014-05-01;No;2019-09-18;Vascular Targeted Photodynamic Therapy T1a Renal Tumours;2-no result and overdue
NCT01573143;https://clinicaltrials.gov/show/NCT01573143;University of Oxford;Completed;False;True;2014-09-01;No;2019-09-18;Statin Therapy In Cardiac Surgery;2-no result and overdue
NCT02580656;https://clinicaltrials.gov/show/NCT02580656;University of Liverpool;Completed;False;True;2017-07-01;No;2019-09-18;An Open Trial of Metacognitive Therapy for Anxiety and Depression in Cancer;2-no result and overdue
NCT02582606;https://clinicaltrials.gov/show/NCT02582606;University of Nottingham;Completed;False;True;2014-10-01;No;2019-09-18;Meal Pattern and Metabolic Parameters;2-no result and overdue
NCT02583542;https://clinicaltrials.gov/show/NCT02583542;Queen Mary University of London;Active, not recruiting;False;False;2019-07-01;No;2019-09-18;A Study of AZD2014 in Combination With Selumetinib in Patients With Advanced Cancers;3-no result and not yet overdue
NCT02589795;https://clinicaltrials.gov/show/NCT02589795;Imperial College London;Completed;False;True;2017-12-22;No;2019-09-18;Safety and Immunogenicity of HIV DNA-C CN54ENV and Recombinant HIV CN54gp140 Vaccines in Healthy Volunteers;2-no result and overdue
NCT02582476;https://clinicaltrials.gov/show/NCT02582476;University College London;Terminated;False;True;2017-05-09;No;2019-09-18;Bumetanide in Hypokalaemic Periodic Paralysis;2-no result and overdue
NCT02589808;https://clinicaltrials.gov/show/NCT02589808;Imperial College London;Completed;False;True;2016-02-01;No;2019-09-18;Preoperative Pocket Echocardiography Trial;2-no result and overdue
NCT02584101;https://clinicaltrials.gov/show/NCT02584101;University of Glasgow;Completed;False;True;2016-05-01;No;2019-09-18;Acceptance and Commitment Therapy (ACT) and Carers;2-no result and overdue
NCT02585154;https://clinicaltrials.gov/show/NCT02585154;University of Oxford;Recruiting;False;True;2018-04-01;No;2019-09-18;Studying Movement Control in PD Using Closed Loop DBS;2-no result and overdue
NCT01780753;https://clinicaltrials.gov/show/NCT01780753;University of Oxford;Completed;False;True;2014-07-01;No;2019-09-18;Primaquine Pharmacokinetics in Lactating Women and Their Infants;2-no result and overdue
NCT01785992;https://clinicaltrials.gov/show/NCT01785992;Imperial College London;Completed;False;True;2014-12-01;No;2019-09-18;A Study of the Safety and Effectiveness of Irosustat When Added to an AI in ER+ve Locally Advanced or Metastatic Breast Cancer.;2-no result and overdue
NCT01787097;https://clinicaltrials.gov/show/NCT01787097;Imperial College London;Completed;False;True;2014-12-01;No;2019-09-18;Effect of Symbicort ® on GR in Sputum in COPD;2-no result and overdue
NCT01785511;https://clinicaltrials.gov/show/NCT01785511;University of Edinburgh;Completed;False;True;2012-08-01;No;2019-09-18;Does Ultraviolet Irradiation Reduce Platelet Reactivity and Improve Coronary Microvascular Function in Man?;2-no result and overdue
NCT01780740;https://clinicaltrials.gov/show/NCT01780740;University of Oxford;Completed;False;True;2014-08-01;No;2019-09-18;Statin Therapy In Atrial Refractoriness and Reperfusion Injury;2-no result and overdue
NCT03889067;https://clinicaltrials.gov/show/NCT03889067;University of Oxford;Recruiting;False;False;2020-03-31;No;2019-09-18;Understanding How Salmonella Typhi Infects Humans (Bottlenecks);3-no result and not yet overdue
NCT03885362;https://clinicaltrials.gov/show/NCT03885362;Imperial College London;Not yet recruiting;False;False;2019-10-01;No;2019-09-18;Assessment of the Accuracy of Continuous Glucose Sensors in People With Diabetes Undergoing Haemodialysis;3-no result and not yet overdue
NCT03881969;https://clinicaltrials.gov/show/NCT03881969;University of Dundee;Completed;False;True;2012-08-01;No;2019-09-18;Does Paying Subjects to Participate in Research Improve Recruitment;2-no result and overdue
NCT03887312;https://clinicaltrials.gov/show/NCT03887312;Queen Mary University of London;Recruiting;False;False;2019-12-31;No;2019-09-18;Phone-Delivered Psychological Intervention (t-CETA) for Mental Health Problems in 8-17 Year-Old Syrian Refugee Children;3-no result and not yet overdue
NCT03886675;https://clinicaltrials.gov/show/NCT03886675;Imperial College London;Not yet recruiting;False;False;2021-04-01;No;2019-09-18;Intervention With Cerebral Embolic Protection in TEVAR: Gaseous Protection;3-no result and not yet overdue
NCT03881982;https://clinicaltrials.gov/show/NCT03881982;University of Leicester;Recruiting;False;False;2019-07-31;No;2019-09-18;A Novel Electronic Method of Collecting Pain Scores in the Emergency Department;3-no result and not yet overdue
NCT00630383;https://clinicaltrials.gov/show/NCT00630383;University of Nottingham;Withdrawn;False;False;2008-05-01;No;2019-09-18;Immunoregulation by Controlled Parasite Exposure in Multiple Sclerosis.;3-no result and not yet overdue
NCT00632034;https://clinicaltrials.gov/show/NCT00632034;Imperial College London;Withdrawn;False;False;2012-07-01;No;2019-09-18;Stem Cells and Tibial Fractures;3-no result and not yet overdue
NCT00638092;https://clinicaltrials.gov/show/NCT00638092;University of Oxford;Completed;False;True;2015-04-01;No;2019-09-18;A Randomised Controlled Trial of Iodide Supplementation in Preterm Infants Follow-up at 2 Years;2-no result and overdue
NCT02927145;https://clinicaltrials.gov/show/NCT02927145;University of Oxford;Active, not recruiting;False;False;2019-12-01;No;2019-09-18;A Challenge Study to Assess the Safety, Immunogenicity and Efficacy of a Malaria Vaccine Candidate;3-no result and not yet overdue
NCT02924896;https://clinicaltrials.gov/show/NCT02924896;Imperial College London;Completed;False;True;2017-04-01;No;2019-09-18;Effect of Palm Olein Intake on Lipid Profile and Appetite Regulation;2-no result and overdue
NCT02920814;https://clinicaltrials.gov/show/NCT02920814;King's College London;Completed;False;False;2018-08-30;No;2019-09-18;Time Intensive CBT for a Specific Phobia of Vomiting;3-no result and not yet overdue
NCT02925897;https://clinicaltrials.gov/show/NCT02925897;King's College London;Unknown status;False;True;2017-06-01;No;2019-09-18;Enhancing Self-care in the Housebound;2-no result and overdue
NCT02928341;https://clinicaltrials.gov/show/NCT02928341;London School of Hygiene and Tropical Medicine;Recruiting;False;False;2020-09-27;No;2019-09-18;Impact Evaluation of Urban Water Supply Improvements on Cholera and Other Diarrhoeal Diseases in Uvira, Democratic Republic of Congo;3-no result and not yet overdue
NCT02926508;https://clinicaltrials.gov/show/NCT02926508;University of Oxford;Enrolling by invitation;False;False;2018-09-01;No;2019-09-18;Oxford Study of Prebiotics in Children;3-no result and not yet overdue
NCT02928965;https://clinicaltrials.gov/show/NCT02928965;University of Manchester;Completed;False;True;2016-05-01;No;2019-09-18;The Benefit of Minocycline on Negative Symptoms in Schizophrenia: Extent and Mechanisms;2-no result and overdue
NCT02925403;https://clinicaltrials.gov/show/NCT02925403;University of Oxford;Completed;False;True;2017-02-15;No;2019-09-18;A Study to Assess the Safety and Immunogenicity of the Malaria Vaccine, R21, With Matrix-M1 Adjuvant;2-no result and overdue
NCT02508961;https://clinicaltrials.gov/show/NCT02508961;University of Glasgow;Completed;False;True;2016-12-01;No;2019-09-18;WEB-Based Physiotherapy for People With Multiple Sclerosis;2-no result and overdue
NCT02509988;https://clinicaltrials.gov/show/NCT02509988;University of Southampton;Active, not recruiting;False;False;2018-10-01;No;2019-09-18;Nutritional Intervention Preconception and During Pregnancy to Maintain Healthy Glucose Metabolism and Offspring Health;3-no result and not yet overdue
NCT02505438;https://clinicaltrials.gov/show/NCT02505438;University of Nottingham;Unknown status;False;True;2015-12-01;No;2019-09-18;Application of Deuterated Water (D2O) to Define the Etiology of Musculoskeletal Decline in Ageing and the Efficacy of Nutritional Supplementation;2-no result and overdue
NCT01221467;https://clinicaltrials.gov/show/NCT01221467;University of Cambridge;Completed;False;True;2013-03-01;No;2019-09-18;Closing the Loop in Youth With Type 1 Diabetes in the Home Setting;2-no result and overdue
NCT01226212;https://clinicaltrials.gov/show/NCT01226212;University of Dundee;Completed;False;True;2012-12-01;No;2019-09-18;Can Synbiotic Use Effect Gut Bacteria and the Immune Response in Older People;2-no result and overdue
NCT01229930;https://clinicaltrials.gov/show/NCT01229930;University of Glasgow;Completed;False;True;2012-12-01;No;2019-09-18;Carboplatin and Paclitaxel With or Without Cediranib Maleate in Treating Patients With Metastatic or Recurrent Cervical Cancer That Cannot Be Removed by Surgery;2-no result and overdue
NCT00025090;https://clinicaltrials.gov/show/NCT00025090;University College London;Completed;False;True;Not given;No;2019-09-18;Radiation Therapy Plus Fluorouracil With or Without Additional Chemotherapy in Treating Patients With Primary Anal Cancer;2-no result and overdue
NCT00020566;https://clinicaltrials.gov/show/NCT00020566;University of Leicester;Unknown status;False;True;2011-12-01;No;2019-09-18;Combination Chemotherapy With or Without Peripheral Stem Cell Transplantation, Radiation Therapy, and/or Surgery in Treating Patients With Ewing's Sarcoma;2-no result and overdue
NCT02081521;https://clinicaltrials.gov/show/NCT02081521;London School of Hygiene and Tropical Medicine;Completed;False;True;2014-11-01;No;2019-09-18;Evaluation of a Multiple Behaviour Programme for Diarrhoea Management;2-no result and overdue
NCT02086331;https://clinicaltrials.gov/show/NCT02086331;Imperial College London;Completed;False;True;2015-12-01;No;2019-09-18;Evaluation of Musculoskeletal Microcirculation With Ultrasound;2-no result and overdue
NCT02080377;https://clinicaltrials.gov/show/NCT02080377;University of Edinburgh;Completed;False;True;2015-10-01;No;2019-09-18;A Feasibility Study Looking at the Use of Glibenclamide and metfoRmin Versus stAndard Care in gEstational diabeteS;2-no result and overdue
NCT02081924;https://clinicaltrials.gov/show/NCT02081924;Imperial College London;Recruiting;False;False;2022-02-01;No;2019-09-18;Reproductive Hormones During Sustained Administration of Kisspeptin;3-no result and not yet overdue
NCT02080325;https://clinicaltrials.gov/show/NCT02080325;University of Aberdeen;Completed;False;True;2010-12-01;No;2019-09-18;Vegetarian High Protein Weight Loss Diets;2-no result and overdue
NCT02080351;https://clinicaltrials.gov/show/NCT02080351;University of Oxford;Completed;False;True;2015-01-01;No;2019-09-18;A Simple Cognitive Task to Reduce the Build-Up of Flashbacks After a Road Traffic Accident;2-no result and overdue
NCT02083887;https://clinicaltrials.gov/show/NCT02083887;University of Oxford;Completed;False;True;2015-11-01;No;2019-09-18;A Phase I Study to Assess the Safety and Immunogenicity of ChAd63 ME-TRAP - MVA ME-TRAP Heterologous Prime-boost Vaccination Co-administered With EPI Vaccines in Gambian Infants;2-no result and overdue
NCT02085226;https://clinicaltrials.gov/show/NCT02085226;University of Dundee;Completed;False;True;2014-08-01;No;2019-09-18;Art as Creative Engagement for Stroke;2-no result and overdue
NCT02082145;https://clinicaltrials.gov/show/NCT02082145;Imperial College London;Completed;False;True;2015-12-01;No;2019-09-18;Electrical Stimulation in Diabetic Peripheral Neuropathy;2-no result and overdue
NCT02080286;https://clinicaltrials.gov/show/NCT02080286;University of Oxford;Recruiting;False;True;2018-05-01;No;2019-09-18;Transcranial Stimulation (tDCS) and Prism Adaptation in Spatial Neglect Rehabilitation;2-no result and overdue
NCT02087111;https://clinicaltrials.gov/show/NCT02087111;Queen Mary University of London;Unknown status;False;True;2015-06-01;No;2019-09-18;Telaprevir in Genotype 3 HCV;2-no result and overdue
NCT02089152;https://clinicaltrials.gov/show/NCT02089152;University of Oxford;Active, not recruiting;False;False;2019-12-01;No;2019-09-18;A Single-blind Stepped Wedge Cluster Randomized Controlled Behaviour Change Trial to Determine Effectiveness of Prevention Programme of Melioidosis in Diabetics in Ubon Ratchathani, Northeast Thailand;3-no result and not yet overdue
NCT02086240;https://clinicaltrials.gov/show/NCT02086240;Imperial College London;Withdrawn;False;False;2018-01-01;No;2019-09-18;Reproducibility of the 11C-PBR28 PET Signal;3-no result and not yet overdue
NCT02088892;https://clinicaltrials.gov/show/NCT02088892;University of Oxford;Completed;False;True;2015-01-01;No;2019-09-18;A Clinical Challenge Study of BCG in Healthy Volunteers;2-no result and overdue
NCT02080559;https://clinicaltrials.gov/show/NCT02080559;University of Oxford;Completed;False;True;2016-06-01;No;2019-09-18;Investigating the Immune Response to 4CMenB in Infants;2-no result and overdue
NCT02085213;https://clinicaltrials.gov/show/NCT02085213;University of Edinburgh;Completed;False;True;2017-07-26;No;2019-09-18;GOT-IT Trial: Glyceryl Trinitrate for Retained Placenta;2-no result and overdue
NCT02089035;https://clinicaltrials.gov/show/NCT02089035;University of Reading;Completed;False;True;2016-04-01;No;2019-09-18;Replacement of Saturated Fat in Dairy on Total Cholesterol;2-no result and overdue
NCT03545373;https://clinicaltrials.gov/show/NCT03545373;London School of Hygiene and Tropical Medicine;Recruiting;False;False;2020-06-01;No;2019-09-18;Accuracy and Consequences of Using Trial-of-antibiotics for TB Diagnosis (ACT-TB Study);3-no result and not yet overdue
NCT03549390;https://clinicaltrials.gov/show/NCT03549390;University of Leicester;Recruiting;False;False;2019-09-01;No;2019-09-18;Investigating the Acute Effect of Alternative Forms of Physical Activity in a Multi-ethnic Population;3-no result and not yet overdue
NCT03547102;https://clinicaltrials.gov/show/NCT03547102;University of Exeter;Completed;False;True;2016-05-01;No;2019-09-18;Effect of Cherry Concentrate on Brain Activation and Perfusion in Healthy Older Adults;2-no result and overdue
NCT03541382;https://clinicaltrials.gov/show/NCT03541382;London School of Hygiene and Tropical Medicine;Recruiting;False;False;2019-09-01;No;2019-09-18;A Cluster Randomised Trial of Community-led Distribution of HIV Self-tests in Rural Malawi (HIV Self-Testing Africa [STAR]);3-no result and not yet overdue
NCT03545048;https://clinicaltrials.gov/show/NCT03545048;University of Nottingham;Recruiting;False;False;2019-10-01;No;2019-09-18;Effects of Internet / Web-based Exercises on the Population With Knee Arthritis;3-no result and not yet overdue
NCT03547960;https://clinicaltrials.gov/show/NCT03547960;Imperial College London;Recruiting;False;False;2020-08-01;No;2019-09-18;Effect of Fibre Supplements on Gestational Diabetes;3-no result and not yet overdue
NCT03546946;https://clinicaltrials.gov/show/NCT03546946;King's College London;Recruiting;False;False;2020-01-01;No;2019-09-18;Investigating Attention Patterns in Young People With Anxiety;3-no result and not yet overdue
NCT02830048;https://clinicaltrials.gov/show/NCT02830048;University of Oxford;Completed;False;True;2017-03-09;No;2019-09-18;Low dosE GlibENclamide in Diabetes Part A;2-no result and overdue
NCT02834637;https://clinicaltrials.gov/show/NCT02834637;London School of Hygiene and Tropical Medicine;Active, not recruiting;False;False;2020-11-01;No;2019-09-18;A Dose Reduction Immunobridging and Safety Study of Two HPV Vaccines in Tanzanian Girls;3-no result and not yet overdue
NCT02837094;https://clinicaltrials.gov/show/NCT02837094;Cardiff University;Active, not recruiting;False;False;2020-01-31;No;2019-09-18;Enhanced Epidermal Antigen Specific Immunotherapy Trial -1;3-no result and not yet overdue
NCT03093064;https://clinicaltrials.gov/show/NCT03093064;King's College London;Active, not recruiting;False;False;2022-04-01;No;2019-09-18;Inflammatory Response In Schizophrenia;3-no result and not yet overdue
NCT03094143;https://clinicaltrials.gov/show/NCT03094143;University of Edinburgh;Recruiting;False;False;2022-07-01;No;2019-09-18;Early Valve Replacement Guided by Biomarkers of LV Decompensation in Asymptomatic Patients With Severe AS;3-no result and not yet overdue
